,m1,m2,m3,repository,version,ncloc
0,0.6666666666666666,0.0,1.0,Eccoar_Users,03-05-2021-00:00,180
1,0.6666666666666666,0.0,1.0,Eccoar_Users,10-05-2021-00:00,290
2,1.0,0.0,1.0,Eccoar_Users,12-04-2021-00:00,117
3,0.6666666666666666,0.0,1.0,Eccoar_Users,17-05-2021-00:00,290
4,1.0,0.0,1.0,Eccoar_Users,23-03-2021-00:00,117
5,0.6666666666666666,0.0,1.0,Eccoar_Users,23-04-2021-00:00,180
